,epic,ra,dec
0,201092629,181.239357,-6.804924
1,201102594,179.835908,-6.517851
2,201110617,182.700187,-6.294205
3,201111557,183.846543,-6.268236
4,201127519,181.372066,-5.848084
5,201128338,181.632802,-5.82741
6,201132684,179.939989,-5.721709
7,201132684,179.939989,-5.721709
8,201164625,181.593666,-4.946688
9,201166680,181.121405,-4.899185
10,201166680,181.121405,-4.899185
11,201180665,184.169809,-4.56036
12,201211526,183.468913,-3.831868
13,201225286,180.540899,-3.580723
14,201274010,183.309289,-2.844149
15,201352100,184.035298,-1.673686
16,201357643,185.18168,-1.590889
17,201386739,181.629711,-1.16056
18,201390048,186.03867,-1.111351
19,201390927,184.585548,-1.09883
20,201392505,183.188556,-1.074821
21,201437844,183.472477,-0.393484
22,201437844,183.472477,-0.393484
23,201595106,183.720347,1.96828
24,201598502,183.809191,2.020953
25,201615463,185.188289,2.282436
26,228707509,187.357671,-10.985021
27,228720681,188.69683,-10.319662
28,228721452,185.306152,-10.282037
29,228721452,185.306152,-10.282037
30,228724899,182.445089,-10.111625
31,228725791,188.893689,-10.069232
32,228725791,188.893689,-10.069232
33,228725972,189.704092,-10.060654
34,228725972,189.704092,-10.060654
35,228729473,186.53452,-9.890216
36,228732031,182.751564,-9.765218
37,228734900,186.541294,-9.624804
38,228735255,188.137348,-9.60764
39,228736155,183.645746,-9.562642
40,228739306,182.817242,-9.414005
41,228748383,183.36667,-8.995114
42,228748826,185.031765,-8.975785
43,228753871,186.35645,-8.752722
44,228758778,190.689227,-8.53592
45,228758948,192.09946,-8.527625
46,228763938,182.366358,-8.30952
47,228784812,185.428449,-7.411041
48,228798746,187.294787,-6.834258
49,228801451,186.873264,-6.721861
50,228801451,186.873264,-6.721861
51,228804845,191.363204,-6.576109
52,228809391,184.071852,-6.385604
53,228809550,186.085401,-6.378884
54,228834632,189.051506,-5.33528
55,228836835,189.575383,-5.244647
56,228846243,188.527529,-4.849938
57,228849382,185.550754,-4.717236
58,228849382,185.550754,-4.717236
59,228888935,186.448272,-3.469305
60,228894622,189.912987,-3.370542
61,228934525,189.001516,-2.669481
62,228934525,189.001516,-2.669481
63,228964773,186.32076,-2.128581
64,228968232,186.227151,-2.065931
65,228974324,188.278482,-1.953159
66,228974907,187.581347,-1.942526
67,229004835,186.486603,-1.404572
68,229017395,187.63134,-1.16092
69,229103251,190.798392,0.863555
70,229131722,186.802689,1.566849
71,229133720,187.134854,1.613639
